section,time,title,purpose,who
conference,13:00,Open,,
conference,14:00,Welcome,"Outline of the day and housekeeping, TB presentation, intro Slido Q1",TB
conference,14:15,Bangladesh Presentation,,Zihan Karim & Shohrab Jahan
conference,14:30,Bangladesh Panel,Q&A,TB hosts
conference,14:45,Cairo Presentation,,Raneem Elhaddad & Ahmed Nader
conference,15:00,Cairo Panel,Q&A,TB hosts
conference,15:15,Lebanon Presentation,,Lara Kobeissi & TBC
conference,15:30,Lebanon Panel,Q&A,TB hosts
conference,15:45,Artist Profile Round Up,"Curated round-up and Slido Q2, Pageant reminder",Lisa BC & TB
conference,16:00,Break,,
conference,16:45,Resonate Artists Panel,Profiling artworks shown in the room,Three Resonate artists & TB
conference,17:15,Jersey Artist,Presentation,
conference,17:30,Portsmouth as an Engine for Creativity,Sector value and infrastructure,"Gemma Nichols, Steve Pitt, Arts Council England & University of Portsmouth"
conference,17:45,Reflections & Close,Slido Q3,TB
conference,18:00,Networking & Dinner,,
pageant,19:30,Doors Open,,Misha
pageant,20:00,Pageant Begins,,
pageant,20:45,Break,,"Misha · Judges: CP, Mistly & TBC"
pageant,21:30,KLONN — Headline,,
pageant,22:00,Ends,,
pageant,22:30,Close,,
